#{"t_start": 1783772626.898836, "env_id": "LunarLander-v3"}
r,l,t
-212.198464,97,4.321577
-69.266293,73,4.332221
-107.031061,106,4.347712
-131.89158,100,4.362253
-139.915297,115,4.378843
-88.329767,88,4.391541
-157.060521,132,4.411017
-96.034585,114,4.427573
-152.021505,92,4.445563
-28.149351,175,4.471495
-59.31761,106,4.487873
-243.089285,88,4.501424
-43.45718,77,4.512514
-207.198209,110,4.529299
-124.526828,160,4.904918
-96.141385,136,4.925684
-28.742236,76,4.937472
-205.282958,110,4.953666
-47.241139,81,4.965503
-179.926164,97,4.98003
-64.324167,74,4.991174
-70.642196,100,5.005926
-147.513848,110,5.022491
-122.999523,83,5.034983
-133.317344,148,5.056409
-118.211366,97,5.070605
-126.115158,116,5.087674
-160.719383,123,5.105926
-118.566565,99,5.120529
-81.900538,93,5.134175
-101.327764,117,5.151358
-58.24819,94,5.165182
-139.036008,87,5.178512
-105.443236,94,5.192912
-122.1209,100,5.208378
-37.901029,117,5.531094
-232.883717,118,5.54829
-137.228892,128,5.567084
-101.491573,77,5.578391
-131.000633,159,5.601699
-117.854333,115,5.618652
-131.261542,122,5.636183
-188.656786,110,5.652081
-44.237905,106,5.668138
-239.354578,127,5.687306
-56.353358,98,5.70209
-53.366257,121,5.720315
-60.510914,119,5.737823
-91.589614,112,5.754231
-199.087046,100,5.769238
-251.376536,137,5.789504
-155.980227,118,5.806598
-177.707557,90,6.127353
-169.262484,162,6.15204
-71.19902,131,6.171453
-33.025508,95,6.185587
-57.104149,135,6.204864
-195.660619,129,6.223661
-105.541275,95,6.237477
-46.70507,164,6.261156
-25.007904,115,6.277757
-114.543895,94,6.291324
-51.659187,87,6.303987
-62.152885,130,6.322662
-72.938002,97,6.337114
-53.450826,66,6.346792
-89.292402,143,6.368163
-122.891562,121,6.38644
-123.292431,133,6.405613
-83.217175,113,6.422205
-48.948255,152,6.757473
-44.906588,138,6.778446
-11.18979,134,6.798562
-88.384786,131,6.818216
-81.436049,106,6.833798
-71.038144,95,6.847922
-80.744122,103,6.863115
-19.745225,202,6.893548
-123.28496,126,6.91236
-273.881728,137,6.932995
-233.094807,166,6.957253
-63.711177,83,6.969545
-294.305026,141,6.990335
-36.703586,154,7.01308
-25.920139,175,7.03932
-87.870075,103,7.361832
27.344529,126,7.380355
-32.625016,94,7.393963
-128.80583,106,7.409988
-73.647433,129,7.429146
-245.052899,136,7.449084
-102.631456,134,7.468882
-90.283594,103,7.4838
-38.836362,86,7.496302
-56.570878,116,7.513091
-146.272769,183,7.539814
-82.518592,180,7.566386
-22.441599,129,7.586055
-94.265442,211,7.616408
-24.327222,158,7.639678
-19.40518,170,7.971919
-5.106171,132,7.991564
58.766747,1000,8.14278
-296.028293,265,8.181611
-20.924119,185,8.208644
-188.597223,183,8.235362
-9.906859,172,8.260303
-2.499727,184,8.613962
-187.607493,188,8.641671
-70.444921,228,8.674764
-33.502264,142,8.69581
-66.844834,173,8.72122
-39.165001,254,8.759492
-310.880894,277,8.800488
-155.358672,198,8.829577
-121.304012,149,8.851636
-127.32631,158,8.874745
-318.540895,210,9.213634
-169.641628,245,9.250346
-50.814648,303,9.29498
-197.664104,203,9.325474
-277.135644,234,9.360014
65.572461,1000,9.815206
-69.928986,1000,9.963368
-86.406062,203,9.993138
-407.882468,214,10.024964
-38.77866,246,10.062075
-234.871232,203,10.092339
-228.019889,155,10.416702
-226.620487,248,10.45354
-81.564414,153,10.47601
24.020255,173,10.50127
-128.954904,108,10.520414
-1.649208,129,10.545594
-94.572346,205,10.583536
-65.010939,252,10.621492
-42.766629,286,10.664703
7.679196,190,10.692724
-20.648528,323,11.091707
-28.030678,1000,11.240964
-199.535406,217,11.273119
-227.501223,248,11.309241
-92.257736,231,11.343809
30.38109,1000,11.904456
-74.640535,305,11.951435
-72.994635,173,11.977917
-193.233363,570,12.063195
-107.259887,276,12.104439
-100.329686,267,12.468862
-11.623322,268,12.507969
-314.241625,291,12.550034
-209.875313,363,12.603791
-56.474451,280,12.644614
-263.82111,321,12.692345
-166.956245,219,12.723993
41.130895,1000,13.182179
-57.219536,212,13.213232
-196.815283,332,13.261212
-307.374606,348,13.311716
-193.467335,394,13.675053
-14.858299,1000,13.826934
-142.41798,300,13.870754
-293.557556,346,13.921074
-142.380757,488,14.291605
35.504548,1000,14.445055
-224.076176,394,14.503642
-182.352332,214,14.536019
-112.26903,274,14.888762
-173.859639,438,14.952791
-189.837227,212,14.98431
-106.904747,390,15.041237
-137.820456,379,15.096141
-209.363652,551,15.176619
-154.717037,280,15.520393
-100.584312,498,15.593562
19.082808,1000,15.742514
-192.373283,945,16.183217
-119.484359,358,16.235652
-170.787872,484,16.3062
4.791384,285,16.34769
-124.190458,480,16.715091
-265.176304,395,16.771877
-115.923281,399,16.828934
-201.365556,404,16.886998
-222.227241,249,16.922964
-172.162769,195,16.951319
-73.747523,430,17.309366
100.279875,1000,17.457197
119.971241,1000,17.945771
-119.472537,308,17.991815
191.136306,674,18.121465
106.273343,1000,18.617284
-90.823815,224,18.652064
4.019935,1000,18.80187
-52.103442,232,18.835686
-95.436151,375,18.889784
89.449282,1000,19.334428
-2.764142,283,19.375319
85.251472,1000,19.900942
-65.75418,372,19.971686
-82.395035,521,20.049201
-218.923211,309,20.095039
-65.351549,344,20.145427
-21.004369,1000,20.592321
113.562826,1000,20.737673
115.98489,1000,21.178002
170.497779,676,21.276699
145.253354,1000,21.719286
97.190657,1000,21.865932
92.411675,1000,22.304506
97.95847,1000,22.44926
-80.691687,535,22.52518
-57.784719,399,22.875621
98.84413,1000,23.020516
66.165015,1000,23.502766
51.438036,1000,23.653439
15.243879,224,23.6861
6.019469,417,23.746588
139.165974,1000,24.187493
77.628567,1000,24.333013
78.724245,1000,24.77089
123.09025,1000,24.915938
180.626518,696,25.309957
127.227957,1000,25.454418
87.091984,1000,25.891456
-16.281179,308,25.936781
-10.01425,350,25.993116
84.712707,1000,26.143044
-48.660848,424,26.501031
-35.071512,438,26.565437
107.522365,1000,26.722543
-22.755845,1000,27.16932
135.616793,1000,27.312764
112.830498,1000,27.752593
71.644211,1000,27.900076
69.197949,1000,28.340156
-25.782316,443,28.403513
70.57219,1000,28.554598
116.816822,1000,29.004697
105.472404,1000,29.174255
-54.013029,313,29.534879
24.729878,260,29.572638
94.239546,1000,29.72074
-20.162,297,29.763362
198.838644,799,30.175692
225.95068,949,30.312648
-72.199114,356,30.364343
-19.927043,458,30.724853
-13.747133,359,30.776835
-43.356386,625,30.866451
207.97137,597,30.952412
199.455453,505,31.328612
181.844618,657,31.425062
215.742097,523,31.500911
-26.173335,267,31.539953
204.958869,500,31.911336
158.732944,588,31.998181
186.771577,563,32.081188
190.147163,667,32.178081
-194.828825,982,32.622963
217.115662,559,32.704696
-108.275682,701,33.127216
198.583074,719,33.234937
175.456277,611,33.324016
165.857805,608,33.411848
214.501042,376,33.779907
36.121486,1000,33.925705
193.333089,697,34.02622
21.010118,1000,34.474075
97.828206,937,34.609127
239.834686,538,34.986535
205.18074,524,35.061958
203.93626,459,35.128503
-39.389181,314,35.173964
47.940335,1000,35.623197
188.259754,458,35.689327
189.808506,522,35.764437
-33.549209,332,35.812391
236.112292,520,36.186704
258.800452,677,36.285172
-42.969923,259,36.322568
-17.544534,421,36.38315
232.060095,400,36.740598
206.740134,685,36.840446
184.045782,450,36.905952
114.005125,809,37.32115
234.111655,390,37.379102
204.812,468,37.449525
-54.646518,315,37.49686
233.032327,462,37.565944
216.54683,400,37.941389
138.005921,1000,38.093205
217.17575,423,38.155697
-53.036947,593,38.555141
111.830138,1000,38.704057
215.596132,397,38.762387
-32.916633,322,38.809758
219.709581,884,39.250066
197.500946,547,39.330549
230.299348,418,39.391675
170.961673,770,39.813399
261.133612,397,39.872218
-44.043749,555,39.954501
128.908658,629,40.04861
-6.920414,289,40.408129
1.943808,413,40.470581
190.327101,722,40.576822
226.325844,582,40.661975
121.648156,1000,41.130567
234.083548,391,41.189594
223.848786,502,41.263318
198.620862,616,41.656431
212.023486,531,41.733752
187.90042,478,41.802981
-57.451148,502,41.874915
220.469828,511,42.261873
221.791522,410,42.321826
145.263349,672,42.419188
229.083978,543,42.497605
207.669614,426,42.874643
243.05822,359,42.927316
-29.037561,283,42.969032
219.85056,434,43.032166
-47.576659,320,43.079506
-18.74861,279,43.121796
-44.122209,411,43.494814
221.380076,389,43.554138
234.045126,426,43.618562
224.712815,474,43.690043
2.02588,266,43.729781
228.352553,450,44.111821
53.346159,1000,44.260947
3.821463,254,44.298362
17.627188,339,44.348154
229.142784,357,44.735322
265.389204,366,44.790312
195.511724,447,44.856259
246.870476,376,44.910927
219.67559,390,44.967545
202.358987,573,45.35471
-26.53041,370,45.408198
241.426107,370,45.462027
-18.783834,230,45.495827
249.283544,404,45.554068
216.764951,398,45.611185
204.293098,404,45.969758
-69.330158,426,46.031341
90.742641,1000,46.179661
-31.290995,303,46.223683
-11.35839,314,46.567721
-39.453656,298,46.610652
192.332063,405,46.668909
-36.772832,247,46.704489
219.498305,443,46.768111
-8.360975,210,46.798639
-35.982524,401,47.182173
235.590575,383,47.239645
-12.011435,286,47.28154
-22.892585,276,47.321622
192.165015,452,47.387173
-38.780586,273,47.426461
193.465365,393,47.786524
-54.113582,470,47.855266
215.081877,343,47.905229
256.864617,382,47.960361
205.660052,424,48.021567
228.536483,396,48.378773
212.180733,369,48.432281
-91.526077,288,48.47443
-77.73815,319,48.520649
229.537044,435,48.582988
241.925415,453,48.965492
188.485045,675,49.063319
-40.114294,348,49.113652
192.18086,640,49.206125
130.564446,658,49.601618
260.90435,398,49.659055
228.8306,487,49.729438
-7.704335,271,49.768609
241.6409,372,49.822214
201.809193,381,50.181079
244.987219,475,50.251669
-46.863779,333,50.30018
191.289398,400,50.358495
197.374019,482,50.429303
240.417591,358,50.783962
251.914227,475,50.853327
250.897532,403,50.911408
-47.747038,348,50.961544
241.026077,402,51.019623
254.938843,406,51.377327
250.53889,423,51.438473
190.23092,473,51.506772
-13.630374,417,51.566725
209.038973,477,51.635111
242.480457,409,51.993903
229.56137,354,52.04507
19.963593,308,52.089265
217.072027,412,52.148186
125.523405,557,52.229117
232.80417,436,52.590011
-54.986324,314,52.635606
5.491142,280,52.676148
218.735572,427,52.738631
-42.691763,330,52.788299
171.890084,674,53.216412
81.143961,1000,53.370896
223.348488,548,53.455189
233.924831,447,53.833969
7.200243,375,53.888187
7.162508,333,53.936587
196.879212,376,53.99066
223.123757,507,54.063564
233.494233,459,54.428564
201.386545,450,54.493613
229.283508,425,54.55488
-30.916648,345,54.604749
-13.29291,353,54.655713
2.566143,363,55.027799
218.245136,491,55.099045
229.553711,379,55.153921
178.609215,423,55.214894
234.343111,475,55.283457
-33.567151,308,55.624307
187.530604,427,55.68584
193.618898,419,55.745854
190.252638,616,55.834301
-15.938509,315,55.879496
208.267355,425,56.237739
244.748879,420,56.298228
217.290196,425,56.359346
248.674986,371,56.412583
218.967781,383,56.467929
201.012357,420,56.825128
-17.839663,388,56.880961
223.835907,498,56.952243
49.380949,1000,57.393945
190.323116,459,57.460225
-12.866697,288,57.50172
252.207046,365,57.554302
237.840636,445,57.618347
252.977485,380,57.969447
200.809857,444,58.033118
-29.68151,383,58.087768
230.438186,471,58.155328
172.579268,531,58.232083
190.783318,533,58.609371
201.619305,423,58.67056
184.823983,443,58.734387
246.884459,370,58.787944
206.650094,419,58.8484
193.746177,444,59.209495
229.680833,710,59.312441
208.937434,418,59.372893
-24.283843,385,59.428037
205.621109,453,59.78933
12.816383,345,59.838919
-54.963443,402,59.8966
187.259252,488,59.967264
222.298002,421,60.027993
-50.661452,294,60.367487
-10.350879,355,60.41866
234.426826,400,60.476123
245.526893,362,60.528084
222.378858,465,60.594867
230.979207,487,60.962747
194.093308,471,61.030341
232.858606,448,61.095055
215.456997,532,61.172002
184.792438,449,61.533434
212.841082,586,61.617969
206.714466,539,61.695828
-24.227945,296,61.738634
-76.081713,455,61.804155
-39.337097,374,62.173841
197.429609,442,62.237548
217.133896,456,62.302753
201.859391,511,62.378679
235.285165,496,62.747921
245.870725,437,62.81123
9.228712,368,62.864277
222.187733,501,62.936475
209.817526,483,63.005683
-20.803771,425,63.36302
214.229308,454,63.428227
228.492926,467,63.496452
196.078599,515,63.570862
-17.262192,394,63.924924
233.514655,534,64.001527
229.028061,478,64.069851
225.377849,466,64.136349
218.604101,419,64.19636
195.172628,465,64.559709
-46.916128,338,64.608492
212.156464,514,64.682281
232.196204,446,64.74624
222.148956,493,65.113231
209.677971,422,65.174119
-7.939867,336,65.222599
236.204912,456,65.288478
-28.993704,338,65.336808
-56.693726,362,65.686033
248.823794,382,65.741323
137.538019,532,65.818418
213.360624,426,65.879619
-9.211223,335,65.927968
248.06566,478,66.293692
-28.624668,375,66.347698
-27.955543,403,66.405124
-4.924406,370,66.458214
-51.384061,395,66.514973
231.33293,425,66.872207
-43.262374,405,66.930343
255.657869,405,66.988099
-69.618285,394,67.045482
201.374334,470,67.113541
234.556345,524,67.486522
-58.440738,386,67.541998
229.189218,418,67.60199
212.214881,516,67.676081
188.530737,464,67.742692
-25.814779,316,68.084317
-51.686246,422,68.144938
239.830318,414,68.203912
189.541109,448,68.26819
243.241709,356,68.319192
232.316994,597,68.705827
257.233045,405,68.763737
-39.266686,376,68.817408
227.090952,512,68.890464
265.668172,347,69.236597
-49.139989,388,69.29233
195.073243,431,69.354062
221.521411,434,69.416624
5.695958,393,69.473041
199.289429,837,69.890272
179.443214,501,69.962201
239.785649,425,70.024055
197.975172,503,70.097654
212.281144,487,70.465725
-58.293244,350,70.516073
-73.227977,430,70.577834
-2.730186,365,70.630126
223.358184,453,70.695135
154.730202,516,71.067718
-14.828078,364,71.120098
-27.80094,415,71.179833
182.391238,435,71.242428
190.28635,454,71.602582
197.891904,584,71.686532
219.843409,435,71.7486
193.068012,426,71.809271
194.185361,491,71.879354
263.752261,407,72.238834
-10.671848,433,72.301883
207.567023,476,72.371056
248.457341,439,72.435132
8.778605,404,72.789145
264.396271,390,72.845627
187.521868,485,72.915453
165.991907,637,73.007409
-39.906045,396,73.064027
-31.82248,361,73.413908
93.503377,571,73.49815
-44.776969,402,73.556331
172.567443,504,73.629098
182.485012,510,74.000562
245.423279,445,74.064402
226.176216,475,74.132437
180.2391,547,74.213037
244.623574,402,74.568664
278.671854,375,74.62459
-12.626486,287,74.666527
229.099464,388,74.722856
192.155516,408,74.782201
180.326183,474,74.850961
246.222756,370,75.201644
250.108106,470,75.269083
252.907661,412,75.328365
146.291633,804,75.445597
204.315388,662,75.841353
-93.561634,445,75.905533
247.541083,403,75.963715
-65.409159,392,76.020086
211.789383,482,76.385286
182.06135,486,76.454871
232.370402,435,76.517153
177.86847,553,76.596579
237.911042,466,76.959226
-48.194803,385,77.014389
264.479619,542,77.091948
182.355378,512,77.16481
195.572368,465,77.231181
216.170766,415,77.586627
212.548814,445,77.651199
-36.092299,406,77.709511
-55.691175,411,77.768631
-31.190649,402,78.124882
191.945275,516,78.199579
182.389806,520,78.273866
266.69601,324,78.320419
256.695295,425,78.381262
117.243652,716,78.794748
242.535746,400,78.852471
191.301444,469,78.920089
-64.33785,475,78.988228
9.333311,374,79.338786
203.184638,602,79.425607
216.801639,560,79.505531
189.28339,443,79.568788
205.501687,529,79.941035
247.934527,520,80.01601
200.129031,479,80.084478
59.262498,321,80.130591
174.657616,571,80.508385
15.709939,217,80.539861
206.212587,547,80.617833
235.540373,438,80.68041
21.449835,284,80.720865
240.422933,378,80.774773
200.769589,561,81.151907
216.171201,542,81.229059
199.846587,559,81.308319
198.559073,577,81.687376
209.24958,409,81.747211
-21.553244,373,81.801249
198.721225,480,81.870585
211.214901,527,81.946318
184.693045,562,82.323984
169.002926,626,82.413341
217.144056,494,82.484314
209.16871,476,82.552225
-8.81658,414,82.907882
215.231679,428,82.969713
225.573208,407,83.02831
225.236497,409,83.086724
227.858617,433,83.148956
-34.97326,537,83.525901
186.158812,639,83.619223
187.684363,513,83.693998
240.877873,681,84.09075
193.513439,464,84.157803
-53.226935,499,84.229239
195.788283,431,84.290988
13.677845,343,84.340549
222.403399,417,84.696816
225.097005,447,84.760648
208.363177,385,84.815966
209.836963,403,84.873933
240.384883,374,84.927703
-25.248154,324,85.270594
187.941788,427,85.331691
-83.085705,446,85.39563
242.270601,431,85.457604
253.941191,385,85.512994
203.503007,502,85.899309
237.943055,411,85.959099
206.774001,440,86.022256
229.742044,416,86.081595
247.501363,370,86.429829
248.415169,421,86.490632
191.770086,468,86.558601
-46.282358,402,86.616139
235.172932,467,86.68321
211.859937,462,87.045514
189.526776,532,87.122168
175.852245,507,87.195726
217.8139,423,87.257259
223.572825,399,87.314563
-81.96951,517,87.684853
214.860881,434,87.747088
-9.277417,365,87.799341
197.534825,410,87.858291
219.584933,399,88.211645
234.527193,470,88.278964
224.703718,428,88.340518
222.214962,485,88.409749
209.452664,442,88.473186
-7.868987,390,88.828726
244.356565,420,88.889341
19.675979,308,88.933543
225.256899,392,88.989937
219.487296,463,89.056503
-45.786347,404,89.40942
-18.084228,256,89.446551
2.397986,355,89.497564
231.768417,401,89.555047
251.096472,399,89.612499
208.980259,405,89.67082
222.007961,435,90.030082
202.152197,391,90.086582
198.734598,386,90.142517
228.100117,383,90.197967
34.782308,1000,90.644615
-14.451837,314,90.690217
211.356447,416,90.750406
238.809786,356,90.802101
241.007019,360,90.854338
235.543414,345,91.205768
236.238189,323,91.252838
16.152948,276,91.292867
-43.17173,353,91.344089
243.561955,373,91.398463
275.208966,290,91.44061
238.242134,360,91.810274
-1.680627,331,91.859662
235.264334,366,91.913442
241.885403,348,91.963897
226.371097,405,92.022995
231.835297,358,92.087427
230.131871,555,92.491292
-7.935075,410,92.550285
6.066809,307,92.594382
211.809708,549,92.673808
-17.44778,313,93.017953
-8.996168,330,93.065902
226.69749,395,93.122857
-55.313532,377,93.177225
227.897389,472,93.2455
245.669037,412,93.304859
217.461268,372,93.659771
-9.364739,382,93.714763
246.974773,346,93.764651
170.432341,600,93.851567
16.361123,237,93.885728
247.980336,378,94.23823
-20.176209,435,94.300851
-29.983255,442,94.365183
226.366989,398,94.421744
254.044789,318,94.467452
117.541754,681,94.8635
212.366379,438,94.926407
229.97867,393,94.983315
213.243925,426,95.050338
5.154113,292,95.093732
213.531713,474,95.476035
243.051355,688,95.575394
207.324947,440,95.640557
214.836332,387,95.709515
-78.229711,391,96.113232
-43.339301,282,96.453136
19.030186,263,96.576138
260.820323,363,97.019435
233.636188,402,97.100347
209.121728,390,97.177422
23.162674,186,97.998963
248.376149,384,98.170086
-4.061879,275,98.308493
225.781422,420,98.520146
-2.299248,336,98.629287
211.527996,368,98.76131
213.53025,642,99.348385
21.609137,334,99.402528
11.768285,249,99.445262
232.099431,388,99.509995
216.746198,878,100.039821
4.85701,311,100.089481
223.174009,403,100.153653
260.905705,323,100.205117
-22.767777,246,100.244236
232.534048,358,100.301069
230.205596,385,100.655313
248.829017,323,100.702039
225.112978,385,100.757303
18.249023,247,100.793045
220.903743,457,100.858778
247.405658,423,101.219802
-0.52477,240,101.255031
-33.051578,262,101.293201
13.172618,304,101.337111
218.858241,373,101.39094
251.381394,366,101.443378
228.897753,432,101.505975
248.40898,379,101.864138
253.702843,408,101.929315
277.664151,325,101.978076
-12.200277,307,102.025492
240.669687,388,102.085222
6.894566,251,102.126261
15.75793,343,102.49168
241.101743,387,102.547339
248.547506,375,102.600978
241.077363,394,102.65784
245.997721,416,102.717085
3.737466,361,103.071192
243.37402,426,103.132362
253.996171,452,103.197288
232.990017,357,103.248709
226.730407,357,103.300105
219.573828,391,103.656985
220.328017,365,103.710049
241.485582,429,103.771754
259.524683,385,103.826763
264.35523,426,103.88781
218.195457,388,104.240247
240.127067,317,104.285746
221.425848,392,104.341481
281.788765,257,104.37812
16.45036,209,104.407878
249.365183,297,104.450016
241.927103,399,104.50694
213.45315,362,104.854671
259.701347,326,104.901815
260.999836,306,104.945693
-3.047238,256,104.982584
257.477978,459,105.048425
232.174161,415,105.403656
12.36241,322,105.450202
235.638112,351,105.500546
257.511243,322,105.546913
208.262893,348,105.596947
-29.857139,334,105.645146
236.139508,465,106.007124
246.390219,466,106.07546
-14.366757,323,106.122013
247.277047,308,106.166399
263.401013,334,106.214502
258.089603,389,106.270512
231.759356,403,106.627545
-13.876779,290,106.669496
225.183747,340,106.718343
272.011583,375,106.772512
181.524858,533,106.850058
222.162841,345,107.194633
25.872854,281,107.235988
253.272558,401,107.294728
250.995971,375,107.348738
16.799342,227,107.38166
253.583052,321,107.428115
215.731412,335,107.476606
28.273844,226,107.820019
225.143766,339,107.869041
233.342401,418,107.929488
229.056776,371,107.982944
-4.154479,321,108.029156
245.961701,322,108.075468
232.414582,326,108.416815
252.545427,330,108.464313
249.305626,797,108.581325
248.605495,366,108.633977
217.967369,320,109.007764
240.639767,364,109.065138
250.911871,365,109.125181
232.749713,392,109.193309
251.126705,361,109.245942
176.473266,910,109.677524
228.853115,329,109.725027
259.989513,378,109.779554
260.509441,687,109.879276
97.928206,1000,110.324216
8.137482,214,110.35527
247.927713,352,110.405784
238.56786,299,110.448839
211.927961,342,110.498053
224.466209,352,110.846976
2.166113,226,110.880003
224.24174,310,110.925035
1.422712,267,110.963892
256.142688,339,111.012912
43.75421,362,111.065869
216.388414,323,111.408258
-2.702472,302,111.452222
13.566315,210,111.482774
236.636933,360,111.534958
228.532568,346,111.584927
86.705266,1000,112.02815
262.905602,375,112.084769
254.414218,385,112.144329
18.992842,238,112.180655
246.810618,342,112.231804
180.276824,534,112.611946
250.782669,366,112.666894
249.267034,371,112.722087
240.404848,343,112.772174
31.868158,274,112.812471
244.650245,328,112.860323
239.872703,305,112.90575
239.785217,322,113.252685
70.379962,1000,113.397736
247.584047,333,113.445643
248.911526,402,113.504158
238.526354,310,113.846385
224.699032,317,113.892538
42.007913,296,113.935056
246.322648,293,113.977301
252.270546,351,114.028058
260.717003,395,114.08509
12.190234,202,114.410335
244.42535,327,114.457826
242.270664,316,114.503764
-19.843751,239,114.53845
258.423795,321,114.584836
252.210867,316,114.630333
259.084222,288,114.672201
203.758651,349,115.018711
55.59965,274,115.058358
269.335195,282,115.09942
251.009745,336,115.147998
241.284168,302,115.191731
205.84628,359,115.243572
264.100076,298,115.286382
243.8745,327,115.627374
263.462285,492,115.697893
257.289697,312,115.742501
260.540407,394,115.79893
241.410125,346,115.848708
9.796608,232,116.177469
266.978313,307,116.222104
265.85613,377,116.27664
223.03148,331,116.324436
-5.551283,227,116.357244
254.85742,358,116.408878
223.37229,351,116.459829
252.548689,289,116.79678
255.398989,331,116.844888
265.287736,347,116.895188
239.97607,356,116.946914
267.512443,319,116.993255
8.960373,263,117.031329
-4.639407,253,117.363129
261.292196,396,117.420242
256.01664,283,117.461067
263.298691,392,117.517286
35.342226,218,117.548785
256.212024,350,117.599135
243.847413,331,117.64655
256.822251,268,117.984791
248.275648,369,118.040066
1.857201,242,118.075034
-12.809233,220,118.108609
241.732812,298,118.153944
224.222126,313,118.200086
281.94924,256,118.237056
242.706553,338,118.592224
230.524382,279,118.632684
273.204839,264,118.671244
-15.874214,217,118.702559
226.317773,309,118.747186
52.405593,176,118.77275
218.69477,350,118.823093
269.059713,365,119.17284
262.782192,365,119.225497
28.142376,181,119.251844
-11.448781,241,119.28665
245.714918,352,119.337302
248.530691,351,119.387874
246.653661,328,119.435075
248.566395,348,119.780305
-3.800452,167,119.804634
251.479667,331,119.852109
225.256923,332,119.900172
264.771746,346,119.950282
244.980271,412,120.009489
227.088575,337,120.353144
50.195193,262,120.391126
22.767054,223,120.423326
230.567545,437,120.486443
247.712779,358,120.537938
257.177193,345,120.587775
-30.611932,335,120.931434
245.052269,323,120.977958
237.110546,372,121.031432
-9.87377,265,121.069762
25.133457,220,121.101451
246.256679,330,121.149463
250.885018,295,121.192014
247.572587,391,121.543419
241.964348,345,121.593014
259.135918,297,121.636031
277.612222,300,121.67969
282.008031,386,121.73492
266.527896,280,121.775649
272.91493,285,122.117035
265.388105,385,122.180273
252.349982,349,122.233296
265.771229,404,122.292778
253.979829,344,122.342816
257.313364,364,122.39647
120.554387,1000,122.841724
-25.762151,228,122.876311
235.777237,330,122.930879
254.053408,392,122.994431
-1.76704,255,123.52604
248.581369,342,123.578988
-14.106614,350,123.632014
220.966641,684,123.736884
247.667808,428,123.799327
222.28483,320,124.14703
249.699195,345,124.197327
31.915692,226,124.229963
234.499791,342,124.279833
25.10972,268,124.318452
82.267371,1000,124.761584
-17.253752,327,124.809127
255.329805,342,124.861811
244.984699,343,124.912175
274.85034,374,124.966591
260.360947,324,125.013452
214.481983,332,125.395834
242.98226,359,125.449949
275.168329,379,125.506785
251.929683,365,125.560594
265.145186,377,125.637519
254.372162,404,126.06265
245.155051,330,126.11232
266.646428,371,126.16695
222.494286,334,126.215787
253.686395,321,126.262566
259.976086,412,126.322218
242.056355,371,126.730144
40.782564,298,126.774326
262.988633,397,126.832306
224.468496,318,126.878422
260.307879,364,126.931154
241.36717,328,126.978883
253.274845,385,127.333613
265.600033,323,127.380738
261.083968,312,127.426093
4.246317,277,127.466399
237.642797,347,127.516919
254.751219,365,127.56969
-39.952391,219,127.601451
233.801839,460,127.977297
277.866888,359,128.030897
245.617327,368,128.087899
232.210093,362,128.168878
236.97105,347,128.232046
32.04033,255,128.587084
236.375053,332,128.635349
241.395914,296,128.678131
261.46056,345,128.728847
275.492314,292,128.771116
251.072603,314,128.816282
10.249894,248,128.851926
